,8/9/18 22:00,8/10/18 0:00,8/10/18 2:00,8/10/18 4:00,8/10/18 6:00,8/10/18 8:00,8/10/18 10:00,8/10/18 12:00,8/10/18 14:00,8/10/18 16:00,8/10/18 18:00,8/10/18 20:00,8/10/18 22:00,8/11/18 0:00,8/11/18 2:00,8/11/18 4:00,8/11/18 6:00,8/11/18 8:00,8/11/18 10:00,8/11/18 12:00,8/11/18 14:00,8/11/18 16:00,8/11/18 18:00,8/11/18 20:00,8/11/18 22:00,8/12/18 0:00,8/12/18 2:00,8/12/18 4:00,8/12/18 6:00,8/12/18 8:00,8/12/18 10:00,8/12/18 12:00,8/12/18 14:00,8/12/18 16:00,8/12/18 18:00,8/12/18 20:00,8/12/18 22:00,8/13/18 0:00,8/13/18 2:00,8/13/18 4:00,8/13/18 6:00,8/13/18 8:00,8/13/18 10:00,8/13/18 12:00,8/13/18 14:00,8/13/18 16:00,8/13/18 18:00,8/13/18 20:00,8/13/18 22:00,8/14/18 0:00,8/14/18 2:00,8/14/18 4:00,8/14/18 6:00,8/14/18 8:00,8/14/18 10:00,8/14/18 12:00,8/14/18 14:00,8/14/18 16:00,8/14/18 18:00,8/14/18 20:00,8/14/18 22:00,8/15/18 0:00,8/15/18 2:00,8/15/18 4:00,8/15/18 6:00,8/15/18 8:00,8/15/18 10:00,8/15/18 12:00,8/15/18 14:00,8/15/18 16:00
TurtleWoman777,0,4,7,5,0,0,0,58,2,0,2,0,3,4,0,0,0,0,0,0,4,0,1,2,0,12,2,0,0,0,0,2,6,0,0,0,0,0,0,3,10,1,0,0,4,0,5,0,1,0,5,4,0,0,0,0,7,7,1,0,0,0,0,2,6,0,0,0,1,0
TuskBot,0,0,1,0,0,0,1,7,0,2,3,1,3,1,0,0,0,0,0,8,0,3,4,1,1,4,0,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,0,4,6,11,4,1,1,8,1,0,0,0,9,8,10,9,6,0,0,1,1,0,0,0,0,13,4,0
Twitlertwit,0,0,2,0,22,37,0,0,0,3,3,0,66,28,17,6,27,5,0,0,0,9,3,2,1,0,14,30,13,0,0,0,0,0,7,0,3,4,6,19,1,0,0,2,39,1,0,4,33,4,8,6,4,0,0,0,0,51,1,0,0,1,0,10,3,0,0,0,29,0
Twitmo_Inmate3,0,4,0,0,0,0,0,0,4,3,0,1,3,20,7,0,0,0,0,0,3,0,5,5,11,0,3,3,4,0,0,0,0,4,3,3,6,1,17,6,0,0,0,0,19,5,5,2,0,1,24,0,0,0,0,0,0,0,2,5,3,3,0,0,0,0,0,0,0,0
USAmericaFans1,0,0,0,0,9,0,6,11,4,14,5,11,9,0,0,0,8,0,4,8,7,2,4,0,9,0,0,0,6,0,8,11,0,6,10,16,4,0,0,6,6,5,9,12,1,12,7,12,6,0,0,6,9,11,6,0,8,7,7,18,0,0,0,11,3,0,12,6,8,0
Untouchable7320,0,13,6,1,0,0,0,5,7,0,8,4,6,7,9,0,1,0,0,8,1,3,2,4,8,3,8,1,0,0,0,0,2,5,4,1,0,4,2,0,0,0,0,2,2,3,0,9,0,9,7,0,0,0,0,0,0,14,2,10,7,7,2,1,0,0,1,1,3,0
UtvaTeam,0,4,0,0,0,4,4,4,5,5,0,0,0,5,0,0,0,4,0,0,1,3,5,13,0,0,0,0,0,9,0,5,6,0,0,5,8,0,0,0,0,3,6,0,0,10,6,7,7,0,0,0,0,0,1,0,0,8,4,10,0,0,0,0,0,3,0,0,5,0
VContentingJobs,0,5,2,3,2,5,5,2,2,5,3,2,0,2,3,3,2,3,3,3,1,3,0,6,2,4,2,3,3,4,2,3,3,3,4,3,4,3,1,3,1,2,5,2,4,4,5,1,2,1,4,2,2,4,1,3,5,4,2,3,3,2,4,2,2,2,2,4,3,0
VapingAve40,0,0,11,12,0,11,0,0,0,11,0,10,0,0,11,10,0,9,2,2,12,0,10,10,0,7,4,0,10,6,0,5,10,0,6,4,0,10,11,1,3,0,6,5,0,7,11,0,5,0,5,4,0,9,10,0,9,9,1,9,1,0,1,1,8,0,1,0,0,0
VedehiMajumdar,0,8,6,1,0,0,0,3,6,8,6,6,0,7,6,2,0,0,0,0,2,4,2,12,2,3,5,0,0,0,0,0,4,5,2,4,2,2,0,0,0,0,1,1,8,5,2,2,3,3,7,1,0,0,0,0,9,3,8,4,6,1,6,0,0,0,0,3,4,0
VeldaMcclung,0,1,4,0,0,0,0,4,6,8,9,0,3,8,8,4,0,0,10,0,5,1,2,5,3,3,9,2,0,0,0,0,5,21,5,1,1,6,6,1,0,0,0,12,3,14,6,3,12,10,2,3,0,0,0,1,10,7,6,13,20,9,5,2,0,0,0,0,8,0
Vi44,0,0,0,0,0,0,3,8,5,15,4,7,7,0,0,0,0,1,8,3,2,0,1,1,0,0,0,0,0,2,9,6,3,2,1,2,1,0,0,0,0,0,0,6,11,2,2,3,4,0,0,0,0,0,6,8,12,2,3,2,5,0,0,0,0,0,5,4,3,0
VicLovesAnimals,0,0,1,8,0,0,0,1,6,0,4,0,7,5,10,3,0,0,0,6,0,3,13,4,2,3,6,0,0,0,0,2,1,10,9,4,2,6,4,0,0,0,0,5,0,1,6,7,1,5,8,5,0,0,0,7,0,5,2,7,1,2,3,0,0,0,0,0,8,0
VideoGameSect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,2,2,4,4,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
Videos__Gaming,0,5,1,5,2,0,1,7,6,8,0,0,0,13,19,6,6,2,1,4,3,11,11,8,12,6,2,0,1,2,3,5,1,8,3,9,3,7,1,1,1,1,3,2,4,10,7,8,4,2,0,1,1,1,2,2,9,13,10,3,2,0,2,1,0,2,0,6,3,0
Viperrescuer1,0,0,2,11,0,0,0,0,0,0,0,4,6,17,0,0,0,0,0,0,0,0,10,14,0,8,5,2,0,0,0,0,11,7,0,0,0,7,0,0,0,0,0,4,3,3,3,5,0,5,1,0,0,0,0,0,10,10,3,0,2,3,0,0,0,0,0,0,4,0
VirgilPerez,0,0,0,0,0,1,0,3,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,8,0,0,15,1,6,7,0,0,0,0,5,0,0,4,0,7,2,0,0,0,0,27,11,13,16,1,3,27,3,0,0,0,0,1,1,0
VirginiaMAGAKAG,0,19,4,0,0,0,3,0,0,5,18,0,2,5,5,0,0,0,0,2,1,4,1,1,15,0,5,1,0,0,0,0,6,11,0,2,10,0,0,0,0,0,0,3,0,2,1,0,14,4,10,0,0,0,5,2,0,4,2,0,21,0,2,0,0,0,0,0,4,0
VivaLaDagny,0,5,0,0,0,0,10,5,5,0,0,1,1,1,7,0,0,0,3,10,1,0,0,0,1,0,5,1,0,0,2,8,4,7,6,0,4,0,4,2,0,0,0,14,2,4,8,8,1,6,12,5,0,0,0,14,2,0,12,9,4,9,5,0,0,0,0,8,4,0
